"author_location","author_name","business_id","business_name","created_date","language","rating","reactions/helpful","reactions/love_this","reactions/oh_no","reactions/thanks","review_id","text"
"Sacramento, CA","Randy K.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-09T18:56:36-07:00","en","4","0","0","0","0","G8loMsgL-uvSZJjknOUkwQ","The fish wasn't cooked, it took very long to get seated and to get food. To many greeters not enough waiters."
"Morgan Hill, CA","Maria F.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-06T08:07:26-08:00","en","5","0","0","0","0","Qvjwtj70YI1kKR-H6D5NLA","Great food! Was amazed at how simple it looked inside but had A1 service and the most delicious breakfast ever!!!"
"Elk Grove, CA","Alana S.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-22T13:17:45-07:00","en","5","0","0","0","0","pXT2R6p5gbZsMKw4Vu6cvA","I'm a frequent customer at Fixin's, and every single time my experience has been amazing. I usually order the oxtails, chicken and waffles, and a Kool-Aid (unless I'm grabbing a drink from the bar), and the food is always sooo good--honestly a 10/10 every time.

The service is consistently great--super welcoming and friendly, which makes the whole experience even better. I do recommend making a reservation so you can get seated quickly.

I love bringing my friends and family here, and they always end up loving it too. The place is super cute, both inside and outside. Definitely one of my go-to spots!"
"Sacramento, CA","Yesenia R.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-22T20:45:44-07:00","en","2","1","0","0","0","b5-YTPl-o7F1IKkoR6KpTg","I really wanted to like this place because the vibe and music were great but unfortunately the service and happy hour confusion made the experience disappointing. Stopped by on a Friday after work with a group of about 9 people to celebrate a birthday and catch happy hour. We arrived around 2:45pm and waited until 3pm to order since happy hour starts then. The restaurant wasn't very busy at first but did start filling up shortly after. The outdoor seating and R&B music were nice, good vibes. 

Most of our table ordered from the happy hour menu. I ordered the blue raspberry margarita, a shot of El Jimador, and the mac and cheese balls. Interestingly the food came out before the drinks and we were almost finished eating before the first round of drinks finally arrived. The mac and cheese balls were good but nothing memorable. The blue raspberry margarita looked nice but the flavor was just okay. Others at our table had similar comments about the food, sliders were good but nothing that really stood out.
Service was unfortunately the biggest issue. Our server seemed overwhelmed and it was difficult to get their attention throughout the visit. Drinks took a long time both rounds and we had to signal a few times just to get assistance which started to throw off the mood for the table.

The biggest surprise came when the bill arrived. The website lists $6 margaritas during happy hour which is one of the reasons we waited until 3pm to order. However the margaritas on our bill were $12. If certain margaritas are excluded from the special that should probably be clarified because it was confusing and felt misleading.
With a party our size gratuity was automatically added and the bill ended up being over $400 which made the slow service even more noticeable. The atmosphere and music were nice and the food was decent but the slow service and unclear happy hour pricing made this a disappointing experience for our group.

Tip for future guests: If you're going for happy hour drinks it might be worth asking which ones actually qualify before ordering!"
"Sacramento, CA","Ariana W.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-13T23:46:49-07:00","en","5","2","1","0","2","p29vp4VsB_yPVx_wuGX2Yg","Went to Fixins to celebrate another year around the sun for our main man Matt. I love my motley crew and felt elated when Matt said he wanted soul food from Fixins for his birthday dinner with the gang. The ambiance is lively, cool, and comfortable. Everyone feels like family and the service is top notch. If you have any questions the staff will answer with a smile and you can tell they take pride in what they do. 

5/5  - The deviled eggs were savory with a perfect amount of seasoning. 

5/5 - Smothered Chicken W/ sides of greens, potato salad, and white rice. The chicken breast is succulent and juicy. The ancestors hands were guiding the chef as they seasoned the chicken cause the gravy-&-crispyskin combo were heavenly. It reminded me of my Mom's perfectly seasoned fried chicken, so kudos to the chef over there. 

*Chicken and Waffles 3/5 - This is only referring to a To-Go order I had for this item. It's placed in a package that has ventilation holes. You puncture the holes to keep air ventilation so the waffle does not get soggy and the chicken stays crisp. They did not puncture the holes and my food arrived steamed with a soggy waffle. 

5/5 The Patron tower was a highlight! The drinks were delicious and the bartender def showed love. 

Overall, I hope they continue to cook with love and serve with care. If so, they will continue to have a customer of me."
"Sacramento, CA","Rachel K.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-08T09:34:37-07:00","en","5","9","15","0","4","HqwUcEy-AswIkkG15s_1TA","I've visited Fixins a few times now, and each time our experience has been consistent and the food has been delicious.

Our latest visit was on a Saturday night, date night with my husband and we put in a reservation ahead of time. I'm glad we did because there were a bunch of people outside waiting for a table. Upon entering they were ready to seat us right away at one of the four top booths- but we spotted a couple open seats at the bar and offered to sit there instead so others could take the big table.

Our server/bartender was friendly and we ended up ordering purple koolaid ($5) (their sugar to flavor ratio is perfect). It's a LARGE glass, and probably could be shared. 

We also ordered the Oxtails ($30) and the three piece fried chicken ($23) to share and knew we'd have leftovers.

Their oxtails are fall off the bone and really flavorful in the gravy. The chicken is perfectly crispy and they give you a choice of dark or white meat- we opted for dark because it's more flavorful- and it was cooked perfectly. We both chose okra for our sides, it's not something you see everywhere and Fixins does a great job.

The restaurant was busy and buzzing with energy. There is indoor and outdoor seating. If you're looking for something close by while you wait for a table there are great shops like Strapping to pop into. There's also plenty of street parking in the area."
"Los Angeles, CA","Mary C.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-13T17:49:17-07:00","en","5","1","1","0","1","gQJQ8ZyGC443cay4qPVngQ","Fixin's Soul Food has the best Soul food of any we have ever had. It is always fresh and wonderful. They have a great menu so you can go a few times without repeating, but some things you just must have.

They have great fried chicken and the best greens and mac and cheese and their pork chops smothered are wonderful and I am very picky about smothered pork chops. They can be dry and over cooked and tuff. These are perfect. I mean they are just perfect.  Their corn bread is great. If you can't finish it, don't be shy, ask for a bag and they will give you one. They heat up so great.

The service is the best. Now, it takes a minute for them to get your food. That is because it is not laying around in bin somewhere, they have to make it. They never rush you. The place is so clean and cute with great art on the walls.

I don't know if they take reservations, but it can and will get crowded by the line moves pretty fast. Have a the best time"
"Hayward, CA","Briggitte L.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-20T20:30:05-07:00","en","5","0","0","0","0","Yu7c9ZTAbBxOkcg6FvIfSg","I highly recommend that you make a reservation for this restaurant, because it was very busy. The decor is funky and cute. The service was very friendly. I thoroughly enjoyed the oxtails. They were cooked perfectly, and the gravy was flavorful. The greens were delicious too. The peach cobbler was a little too sweet for my taste. But, I enthusiastically recommend this restaurant."
"Santa Rosa, CA","Bianca G.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-02-26T11:24:55-08:00","en","3","1","1","0","1","Pb-rWt7UN_-scRtubGNa_g","We happened to be in town so we decided to try this spot as the pictures on here looked really good. We were able to get seated fairly quickly although after we arrived, I noticed a line started to form. 

I will start off by saying that this place is really loud. If you are looking for somewhere that is quiet. This is definitely not the spot for you. You can hardly hear yourself over everyone else's conversation.

We got their hot chicken sandwich as well as the fried chicken, macaroni and french fries. I will say the macaroni was really good. The fried chicken in my opinion lacked a little bit of flavor. The biscuit was also really good as well. 

Service was ok. Our server really didn't talk to us at all. Basically our whole time there we had almost 0 to no interaction with her apart from when we placed our order. 

She also originally gave us straws for our water and then she took one of the straws back, which was a bit weird. The whole time there, she would just come around periodically to refill our water cups, but nothing more was really said. 

Honestly, I'm not sure if I'd be back. The service didn't really feel like you were in a restaurant."
"Davis, CA","Han-Nha T.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-02-20T11:53:09-08:00","en","3","2","0","0","2","XmwtIsVOa2oQZ4I2FxMmWw","We had a really long wait time for decent enough food, don't think I'll come back.

We got there at around 1:30 on a Sunday during the summer and waited around 40 minutes to be seated. We ended up sitting on a long, shared table with others parties next to us.
For a place supposedly about ambiance, I wasn't much pleased.

 The mains were nice, but I didnt care but for the sides. Mac tasted cold, slaw was average, collard greens were fine. 

I've heard others say it can be hit or miss, maybe it was just a miss that day?"
